County,MSA,State,State_county,State_msa
EASTLAND,EASTLAND,TX,"TX,EASTLAND","TX,EASTLAND"
WHARTON,WHARTON,TX,"TX,WHARTON","TX,WHARTON"
ELLIS,WAXAHACHIE,TX,"TX,ELLIS","TX,WAXAHACHIE"
CHILDRESS,CHILDRESS,TX,"TX,CHILDRESS","TX,CHILDRESS"
VAL VERDE,DEL RIO,TX,"TX,VAL VERDE","TX,DEL RIO"
LEE,GIDDINGS,TX,"TX,LEE","TX,GIDDINGS"
WALKER,HUNTSVILLE,TX,"TX,WALKER","TX,HUNTSVILLE"
HUNT,GREENVILLE,TX,"TX,HUNT","TX,GREENVILLE"
SALT LAKE,SALT LAKE CITY,UT,"UT,SALT LAKE","UT,SALT LAKE CITY"
TOOELE,SALT LAKE CITY,UT,"UT,TOOELE","UT,SALT LAKE CITY"
SUMMIT,SALT LAKE CITY,UT,"UT,SUMMIT","UT,SALT LAKE CITY"
UTAH,PROVO,UT,"UT,UTAH","UT,PROVO"
WASATCH,PROVO,UT,"UT,WASATCH","UT,PROVO"
JUAB,PROVO,UT,"UT,JUAB","UT,PROVO"
WEBER,OGDEN,UT,"UT,WEBER","UT,OGDEN"
DAVIS,OGDEN,UT,"UT,DAVIS","UT,OGDEN"
MORGAN,OGDEN,UT,"UT,MORGAN","UT,OGDEN"
CACHE,LOGAN,UT,"UT,CACHE","UT,LOGAN"
RICH,LOGAN,UT,"UT,RICH","UT,LOGAN"
BOX ELDER,LOGAN,UT,"UT,BOX ELDER","UT,LOGAN"
CARBON,PRICE,UT,"UT,CARBON","UT,PRICE"
EMERY,PRICE,UT,"UT,EMERY","UT,PRICE"
GRAND,PRICE,UT,"UT,GRAND","UT,PRICE"
SAN JUAN,PRICE,UT,"UT,SAN JUAN","UT,PRICE"
DAGGETT,PRICE,UT,"UT,DAGGETT","UT,PRICE"
UINTAH,PRICE,UT,"UT,UINTAH","UT,PRICE"
DUCHESNE,PRICE,UT,"UT,DUCHESNE","UT,PRICE"
CHITTENDEN,BURLINGTON,VT,"VT,CHITTENDEN","VT,BURLINGTON"
FRANKLIN,BURLINGTON,VT,"VT,FRANKLIN","VT,BURLINGTON"
GRAND ISLE,BURLINGTON,VT,"VT,GRAND ISLE","VT,BURLINGTON"
WASHINGTON,MONTPELIER,VT,"VT,WASHINGTON","VT,MONTPELIER"
ORANGE,MONTPELIER,VT,"VT,ORANGE","VT,MONTPELIER"
LAMOILLE,MONTPELIER,VT,"VT,LAMOILLE","VT,MONTPELIER"
RUTLAND,RUTLAND,VT,"VT,RUTLAND","VT,RUTLAND"
ADDISON,RUTLAND,VT,"VT,ADDISON","VT,RUTLAND"
BENNINGTON,BENNINGTON,VT,"VT,BENNINGTON","VT,BENNINGTON"
WINDHAM,BENNINGTON,VT,"VT,WINDHAM","VT,BENNINGTON"
WINDHAM,BRATTLEBORO,VT,"VT,WINDHAM","VT,BRATTLEBORO"
CALEDONIA,ST. JOHNSBURY,VT,"VT,CALEDONIA","VT,ST. JOHNSBURY"
ESSEX,ST. JOHNSBURY,VT,"VT,ESSEX","VT,ST. JOHNSBURY"
WINDSOR,WHITE RIVER JCT.,VT,"VT,WINDSOR","VT,WHITE RIVER JCT."
WINDHAM,BELLOWS FALLS,VT,"VT,WINDHAM","VT,BELLOWS FALLS"
ESSEX,GUILDHALL,VT,"VT,ESSEX","VT,GUILDHALL"
RICHMOND,RICHMOND,VA,"VA,RICHMOND","VA,RICHMOND"
CHESTERFIELD,RICHMOND,VA,"VA,CHESTERFIELD","VA,RICHMOND"
HENRICO,RICHMOND,VA,"VA,HENRICO","VA,RICHMOND"
HANOVER,RICHMOND,VA,"VA,HANOVER","VA,RICHMOND"
POWHATAN,RICHMOND,VA,"VA,POWHATAN","VA,RICHMOND"
FAIRFAX,FAIRFAX,VA,"VA,FAIRFAX","VA,FAIRFAX"
LOUDOUN,FAIRFAX,VA,"VA,LOUDOUN","VA,FAIRFAX"
NORFOLK,NORFOLK,VA,"VA,NORFOLK","VA,NORFOLK"
VIRGINIA BEACH,NORFOLK,VA,"VA,VIRGINIA BEACH","VA,NORFOLK"
CHESAPEAKE,NORFOLK,VA,"VA,CHESAPEAKE","VA,NORFOLK"
ARLINGTON,ALEXANDRIA,VA,"VA,ARLINGTON","VA,ALEXANDRIA"
ALEXANDRIA,ALEXANDRIA,VA,"VA,ALEXANDRIA","VA,ALEXANDRIA"
NEWPORT NEWS,NEWPORT NEWS,VA,"VA,NEWPORT NEWS","VA,NEWPORT NEWS"
HAMPTON,NEWPORT NEWS,VA,"VA,HAMPTON","VA,NEWPORT NEWS"
YORK,NEWPORT NEWS,VA,"VA,YORK","VA,NEWPORT NEWS"
ROANOKE,ROANOKE,VA,"VA,ROANOKE","VA,ROANOKE"
ROANOKE,ROANOKE,VA,"VA,ROANOKE","VA,ROANOKE"
BOTETOURT,ROANOKE,VA,"VA,BOTETOURT","VA,ROANOKE"
CHARLOTTESVILLE,CHARLOTTESVILLE,VA,"VA,CHARLOTTESVILLE","VA,CHARLOTTESVILLE"
ALBEMARLE,CHARLOTTESVILLE,VA,"VA,ALBEMARLE","VA,CHARLOTTESVILLE"
GREENE,CHARLOTTESVILLE,VA,"VA,GREENE","VA,CHARLOTTESVILLE"
FREDERICKSBURG,FREDERICKSBURG,VA,"VA,FREDERICKSBURG","VA,FREDERICKSBURG"
STAFFORD,FREDERICKSBURG,VA,"VA,STAFFORD","VA,FREDERICKSBURG"
SPOTSYLVANIA,FREDERICKSBURG,VA,"VA,SPOTSYLVANIA","VA,FREDERICKSBURG"
LYNCHBURG,LYNCHBURG,VA,"VA,LYNCHBURG","VA,LYNCHBURG"
CAMPBELL,LYNCHBURG,VA,"VA,CAMPBELL","VA,LYNCHBURG"
AMHERST,LYNCHBURG,VA,"VA,AMHERST","VA,LYNCHBURG"
HARRISONBURG,HARRISONBURG,VA,"VA,HARRISONBURG","VA,HARRISONBURG"
ROCKINGHAM,HARRISONBURG,VA,"VA,ROCKINGHAM","VA,HARRISONBURG"
WINCHESTER,WINCHESTER,VA,"VA,WINCHESTER","VA,WINCHESTER"
FREDERICK,WINCHESTER,VA,"VA,FREDERICK","VA,WINCHESTER"
STAUNTON,STAUNTON,VA,"VA,STAUNTON","VA,STAUNTON"
AUGUSTA,STAUNTON,VA,"VA,AUGUSTA","VA,STAUNTON"
PETERSBURG,PETERSBURG,VA,"VA,PETERSBURG","VA,PETERSBURG"
DINWIDDIE,PETERSBURG,VA,"VA,DINWIDDIE","VA,PETERSBURG"
PRINCE GEORGE,PETERSBURG,VA,"VA,PRINCE GEORGE","VA,PETERSBURG"
PORTSMOUTH,PORTSMOUTH,VA,"VA,PORTSMOUTH","VA,PORTSMOUTH"
SUFFOLK,PORTSMOUTH,VA,"VA,SUFFOLK","VA,PORTSMOUTH"
BRISTOL,BRISTOL,VA,"VA,BRISTOL","VA,BRISTOL"
WASHINGTON,BRISTOL,VA,"VA,WASHINGTON","VA,BRISTOL"
PRINCE EDWARD,FARMVILLE,VA,"VA,PRINCE EDWARD","VA,FARMVILLE"
CUMBERLAND,FARMVILLE,VA,"VA,CUMBERLAND","VA,FARMVILLE"
CULPEPER,CULPEPER,VA,"VA,CULPEPER","VA,CULPEPER"
RAPPAHANNOCK,CULPEPER,VA,"VA,RAPPAHANNOCK","VA,CULPEPER"
PULASKI,PULASKI,VA,"VA,PULASKI","VA,PULASKI"
RADFORD,PULASKI,VA,"VA,RADFORD","VA,PULASKI"
BUCHANAN,GRUNDY,VA,"VA,BUCHANAN","VA,GRUNDY"
TAZEWELL,GRUNDY,VA,"VA,TAZEWELL","VA,GRUNDY"
KING,SEATTLE,WA,"WA,KING","WA,SEATTLE"
SNOHOMISH,SEATTLE,WA,"WA,SNOHOMISH","WA,SEATTLE"
PIERCE,SEATTLE,WA,"WA,PIERCE","WA,SEATTLE"
KITSAP,SEATTLE,WA,"WA,KITSAP","WA,SEATTLE"
JEFFERSON,SEATTLE,WA,"WA,JEFFERSON","WA,SEATTLE"
CLALLAM,SEATTLE,WA,"WA,CLALLAM","WA,SEATTLE"
SPOKANE,SPOKANE,WA,"WA,SPOKANE","WA,SPOKANE"
STEVENS,SPOKANE,WA,"WA,STEVENS","WA,SPOKANE"
PEND OREILLE,SPOKANE,WA,"WA,PEND OREILLE","WA,SPOKANE"
WHITMAN,SPOKANE,WA,"WA,WHITMAN","WA,SPOKANE"
LINCOLN,SPOKANE,WA,"WA,LINCOLN","WA,SPOKANE"
ADAMS,SPOKANE,WA,"WA,ADAMS","WA,SPOKANE"
FERRY,SPOKANE,WA,"WA,FERRY","WA,SPOKANE"
THURSTON,TACOMA,WA,"WA,THURSTON","WA,TACOMA"
MASON,TACOMA,WA,"WA,MASON","WA,TACOMA"
GRAYS HARBOR,TACOMA,WA,"WA,GRAYS HARBOR","WA,TACOMA"
PACIFIC,TACOMA,WA,"WA,PACIFIC","WA,TACOMA"
WAHKIAKUM,TACOMA,WA,"WA,WAHKIAKUM","WA,TACOMA"
CLARK,VANCOUVER,WA,"WA,CLARK","WA,VANCOUVER"
SKAMANIA,VANCOUVER,WA,"WA,SKAMANIA","WA,VANCOUVER"
COWLITZ,VANCOUVER,WA,"WA,COWLITZ","WA,VANCOUVER"
WHATCOM,EVERETT,WA,"WA,WHATCOM","WA,EVERETT"
SKAGIT,EVERETT,WA,"WA,SKAGIT","WA,EVERETT"
ISLAND,EVERETT,WA,"WA,ISLAND","WA,EVERETT"
LEWIS,OLYMPIA,WA,"WA,LEWIS","WA,OLYMPIA"
BENTON,RICHLAND,WA,"WA,BENTON","WA,RICHLAND"
FRANKLIN,RICHLAND,WA,"WA,FRANKLIN","WA,RICHLAND"
GRANT,RICHLAND,WA,"WA,GRANT","WA,RICHLAND"
YAKIMA,YAKIMA,WA,"WA,YAKIMA","WA,YAKIMA"
KLICKITAT,YAKIMA,WA,"WA,KLICKITAT","WA,YAKIMA"
KITTITAS,YAKIMA,WA,"WA,KITTITAS","WA,YAKIMA"
CHELAN,WENATCHEE,WA,"WA,CHELAN","WA,WENATCHEE"
DOUGLAS,WENATCHEE,WA,"WA,DOUGLAS","WA,WENATCHEE"
OKANOGAN,WENATCHEE,WA,"WA,OKANOGAN","WA,WENATCHEE"
ASOTIN,CLARKSTON,WA,"WA,ASOTIN","WA,CLARKSTON"
GARFIELD,CLARKSTON,WA,"WA,GARFIELD","WA,CLARKSTON"
COLUMBIA,CLARKSTON,WA,"WA,COLUMBIA","WA,CLARKSTON"
WALLA WALLA,CLARKSTON,WA,"WA,WALLA WALLA","WA,CLARKSTON"
SAN JUAN,CLARKSTON,WA,"WA,SAN JUAN","WA,CLARKSTON"
KANAWHA,CHARLESTON,WV,"WV,KANAWHA","WV,CHARLESTON"
PUTNAM,CHARLESTON,WV,"WV,PUTNAM","WV,CHARLESTON"
CLAY,CHARLESTON,WV,"WV,CLAY","WV,CHARLESTON"
BOONE,CHARLESTON,WV,"WV,BOONE","WV,CHARLESTON"
JACKSON,CHARLESTON,WV,"WV,JACKSON","WV,CHARLESTON"
CABELL,HUNTINGTON,WV,"WV,CABELL","WV,HUNTINGTON"
WAYNE,HUNTINGTON,WV,"WV,WAYNE","WV,HUNTINGTON"
LINCOLN,HUNTINGTON,WV,"WV,LINCOLN","WV,HUNTINGTON"
MASON,HUNTINGTON,WV,"WV,MASON","WV,HUNTINGTON"
MONONGALIA,MORGANTOWN,WV,"WV,MONONGALIA","WV,MORGANTOWN"
MARION,MORGANTOWN,WV,"WV,MARION","WV,MORGANTOWN"
PRESTON,MORGANTOWN,WV,"WV,PRESTON","WV,MORGANTOWN"
TAYLOR,MORGANTOWN,WV,"WV,TAYLOR","WV,MORGANTOWN"
OHIO,WHEELING,WV,"WV,OHIO","WV,WHEELING"
MARSHALL,WHEELING,WV,"WV,MARSHALL","WV,WHEELING"
WETZEL,WHEELING,WV,"WV,WETZEL","WV,WHEELING"
WOOD,PARKERSBURG,WV,"WV,WOOD","WV,PARKERSBURG"
RITCHIE,PARKERSBURG,WV,"WV,RITCHIE","WV,PARKERSBURG"
WIRT,PARKERSBURG,WV,"WV,WIRT","WV,PARKERSBURG"
PLEASANTS,PARKERSBURG,WV,"WV,PLEASANTS","WV,PARKERSBURG"
RALEIGH,BECKLEY,WV,"WV,RALEIGH","WV,BECKLEY"
FAYETTE,BECKLEY,WV,"WV,FAYETTE","WV,BECKLEY"
SUMMERS,BECKLEY,WV,"WV,SUMMERS","WV,BECKLEY"
WYOMING,BECKLEY,WV,"WV,WYOMING","WV,BECKLEY"
BERKELEY,MARTINSBURG,WV,"WV,BERKELEY","WV,MARTINSBURG"
JEFFERSON,MARTINSBURG,WV,"WV,JEFFERSON","WV,MARTINSBURG"
MORGAN,MARTINSBURG,WV,"WV,MORGAN","WV,MARTINSBURG"
MERCER,BLUEFIELD,WV,"WV,MERCER","WV,BLUEFIELD"
MCDOWELL,BLUEFIELD,WV,"WV,MCDOWELL","WV,BLUEFIELD"
HARRISON,CLARKSBURG,WV,"WV,HARRISON","WV,CLARKSBURG"
DODDRIDGE,CLARKSBURG,WV,"WV,DODDRIDGE","WV,CLARKSBURG"
LEWIS,CLARKSBURG,WV,"WV,LEWIS","WV,CLARKSBURG"
GREENBRIER,LEWISBURG,WV,"WV,GREENBRIER","WV,LEWISBURG"
MONROE,LEWISBURG,WV,"WV,MONROE","WV,LEWISBURG"
POCAHONTAS,LEWISBURG,WV,"WV,POCAHONTAS","WV,LEWISBURG"
UPSHUR,BUCKHANNON,WV,"WV,UPSHUR","WV,BUCKHANNON"
RANDOLPH,BUCKHANNON,WV,"WV,RANDOLPH","WV,BUCKHANNON"
WEBSTER,BUCKHANNON,WV,"WV,WEBSTER","WV,BUCKHANNON"
BRAXTON,GASSAWAY,WV,"WV,BRAXTON","WV,GASSAWAY"
NICHOLAS,GASSAWAY,WV,"WV,NICHOLAS","WV,GASSAWAY"
CALHOUN,GASSAWAY,WV,"WV,CALHOUN","WV,GASSAWAY"
GRANT,PETERSBURG,WV,"WV,GRANT","WV,PETERSBURG"
HARDY,PETERSBURG,WV,"WV,HARDY","WV,PETERSBURG"
PENDLETON,PETERSBURG,WV,"WV,PENDLETON","WV,PETERSBURG"
HAMPSHIRE,ROMNEY,WV,"WV,HAMPSHIRE","WV,ROMNEY"
MINERAL,ROMNEY,WV,"WV,MINERAL","WV,ROMNEY"
MILWAUKEE,MILWAUKEE,WI,"WI,MILWAUKEE","WI,MILWAUKEE"
WAUKESHA,MILWAUKEE,WI,"WI,WAUKESHA","WI,MILWAUKEE"
OZAUKEE,MILWAUKEE,WI,"WI,OZAUKEE","WI,MILWAUKEE"
WASHINGTON,MILWAUKEE,WI,"WI,WASHINGTON","WI,MILWAUKEE"
DANE,MADISON,WI,"WI,DANE","WI,MADISON"
COLUMBIA,MADISON,WI,"WI,COLUMBIA","WI,MADISON"
IOWA,MADISON,WI,"WI,IOWA","WI,MADISON"
SAUK,MADISON,WI,"WI,SAUK","WI,MADISON"
GREEN,MADISON,WI,"WI,GREEN","WI,MADISON"
BROWN,GREEN BAY,WI,"WI,BROWN","WI,GREEN BAY"
KEWAUNEE,GREEN BAY,WI,"WI,KEWAUNEE","WI,GREEN BAY"
DOOR,GREEN BAY,WI,"WI,DOOR","WI,GREEN BAY"
OCONTO,GREEN BAY,WI,"WI,OCONTO","WI,GREEN BAY"
KENOSHA,KENOSHA,WI,"WI,KENOSHA","WI,KENOSHA"
LA CROSSE,LA CROSSE,WI,"WI,LA CROSSE","WI,LA CROSSE"
VERNON,LA CROSSE,WI,"WI,VERNON","WI,LA CROSSE"
TREMPEALEAU,LA CROSSE,WI,"WI,TREMPEALEAU","WI,LA CROSSE"
EAU CLAIRE,EAU CLAIRE,WI,"WI,EAU CLAIRE","WI,EAU CLAIRE"
CHIPPEWA,EAU CLAIRE,WI,"WI,CHIPPEWA","WI,EAU CLAIRE"
MARATHON,WAUSAU,WI,"WI,MARATHON","WI,WAUSAU"
LINCOLN,WAUSAU,WI,"WI,LINCOLN","WI,WAUSAU"
WINNEBAGO,OSHKOSH,WI,"WI,WINNEBAGO","WI,OSHKOSH"
ONEIDA,RHINELANDER,WI,"WI,ONEIDA","WI,RHINELANDER"
FOREST,RHINELANDER,WI,"WI,FOREST","WI,RHINELANDER"
VILAS,RHINELANDER,WI,"WI,VILAS","WI,RHINELANDER"
DOUGLAS,SUPERIOR,WI,"WI,DOUGLAS","WI,SUPERIOR"
BAYFIELD,SUPERIOR,WI,"WI,BAYFIELD","WI,SUPERIOR"
ASHLAND,SUPERIOR,WI,"WI,ASHLAND","WI,SUPERIOR"
ROCK,BELOIT,WI,"WI,ROCK","WI,BELOIT"
ST. CROIX,NEW RICHMOND,WI,"WI,ST. CROIX","WI,NEW RICHMOND"
POLK,NEW RICHMOND,WI,"WI,POLK","WI,NEW RICHMOND"
PORTAGE,PORTAGE,WI,"WI,PORTAGE","WI,PORTAGE"
WOOD,PORTAGE,WI,"WI,WOOD","WI,PORTAGE"
ADAMS,PORTAGE,WI,"WI,ADAMS","WI,PORTAGE"
GRANT,LANCASTER,WI,"WI,GRANT","WI,LANCASTER"
LAFAYETTE,LANCASTER,WI,"WI,LAFAYETTE","WI,LANCASTER"
WALWORTH,KENOSHA,WI,"WI,WALWORTH","WI,KENOSHA"
LARAMIE,CHEYENNE,WY,"WY,LARAMIE","WY,CHEYENNE"
GOSHEN,CHEYENNE,WY,"WY,GOSHEN","WY,CHEYENNE"
PLATTE,CHEYENNE,WY,"WY,PLATTE","WY,CHEYENNE"
NATRONA,CASPER,WY,"WY,NATRONA","WY,CASPER"
CONVERSE,CASPER,WY,"WY,CONVERSE","WY,CASPER"
SWEETWATER,ROCK SPRINGS,WY,"WY,SWEETWATER","WY,ROCK SPRINGS"
UINTA,ROCK SPRINGS,WY,"WY,UINTA","WY,ROCK SPRINGS"
FREMONT,RIVERTON,WY,"WY,FREMONT","WY,RIVERTON"
WASHAKIE,RIVERTON,WY,"WY,WASHAKIE","WY,RIVERTON"
SHERIDAN,SHERIDAN,WY,"WY,SHERIDAN","WY,SHERIDAN"
JOHNSON,SHERIDAN,WY,"WY,JOHNSON","WY,SHERIDAN"
WESTON,NEWCASTLE,WY,"WY,WESTON","WY,NEWCASTLE"
NIOBRARA,NEWCASTLE,WY,"WY,NIOBRARA","WY,NEWCASTLE"
CARBON,RAWLINS,WY,"WY,CARBON","WY,RAWLINS"
ALBANY,WHEATLAND,WY,"WY,ALBANY","WY,WHEATLAND"
ANNISTON,ANNISTON,AL,"AL,ANNISTON","AL,ANNISTON"
BIRMINGHAM,BIRMINGHAM,AL,"AL,BIRMINGHAM","AL,BIRMINGHAM"
BUTLER,BUTLER,AL,"AL,BUTLER","AL,BUTLER"
DECATUR,DECATUR,AL,"AL,DECATUR","AL,DECATUR"
DOTHAN,DOTHAN,AL,"AL,DOTHAN","AL,DOTHAN"
EVERGREEN,EVERGREEN,AL,"AL,EVERGREEN","AL,EVERGREEN"
GADSDEN,GADSDEN,AL,"AL,GADSDEN","AL,GADSDEN"
HUNTSVILLE,HUNTSVILLE,AL,"AL,HUNTSVILLE","AL,HUNTSVILLE"
JASPER,JASPER,AL,"AL,JASPER","AL,JASPER"
MOBILE,MOBILE,AL,"AL,MOBILE","AL,MOBILE"
MONTGOMERY,MONTGOMERY,AL,"AL,MONTGOMERY","AL,MONTGOMERY"
PHENIX CITY,PHENIX CITY,AL,"AL,PHENIX CITY","AL,PHENIX CITY"
SELMA,SELMA,AL,"AL,SELMA","AL,SELMA"
TUSCALOOSA,TUSCALOOSA,AL,"AL,TUSCALOOSA","AL,TUSCALOOSA"
ANCHORAGE,ANCHORAGE,AK,"AK,ANCHORAGE","AK,ANCHORAGE"
FAIRBANKS,FAIRBANKS,AK,"AK,FAIRBANKS","AK,FAIRBANKS"
JUNEAU,JUNEAU,AK,"AK,JUNEAU","AK,JUNEAU"
KETCHIKAN,KETCHIKAN,AK,"AK,KETCHIKAN","AK,KETCHIKAN"
CHAMBERS,CHAMBERS,AZ,"AZ,CHAMBERS","AZ,CHAMBERS"
FLAGSTAFF,FLAGSTAFF,AZ,"AZ,FLAGSTAFF","AZ,FLAGSTAFF"
GLOBE,GLOBE,AZ,"AZ,GLOBE","AZ,GLOBE"
KINGMAN,KINGMAN,AZ,"AZ,KINGMAN","AZ,KINGMAN"
MESA/TEMPE,MESA/TEMPE,AZ,"AZ,MESA/TEMPE","AZ,MESA/TEMPE"
PHOENIX,PHOENIX,AZ,"AZ,PHOENIX","AZ,PHOENIX"
PRESCOTT,PRESCOTT,AZ,"AZ,PRESCOTT","AZ,PRESCOTT"
SHOW LOW,SHOW LOW,AZ,"AZ,SHOW LOW","AZ,SHOW LOW"
TUCSON,TUCSON,AZ,"AZ,TUCSON","AZ,TUCSON"
BATESVILLE,BATESVILLE,AR,"AR,BATESVILLE","AR,BATESVILLE"
CAMDEN,CAMDEN,AR,"AR,CAMDEN","AR,CAMDEN"
FAYETTEVILLE,FAYETTEVILLE,AR,"AR,FAYETTEVILLE","AR,FAYETTEVILLE"
FORT SMITH,FORT SMITH,AR,"AR,FORT SMITH","AR,FORT SMITH"
HARRISON,HARRISON,AR,"AR,HARRISON","AR,HARRISON"
HOT SPRINGS,HOT SPRINGS,AR,"AR,HOT SPRINGS","AR,HOT SPRINGS"
JONESBORO,JONESBORO,AR,"AR,JONESBORO","AR,JONESBORO"
LITTLE ROCK,LITTLE ROCK,AR,"AR,LITTLE ROCK","AR,LITTLE ROCK"
PINE BLUFF,PINE BLUFF,AR,"AR,PINE BLUFF","AR,PINE BLUFF"
RUSSELLVILLE,RUSSELLVILLE,AR,"AR,RUSSELLVILLE","AR,RUSSELLVILLE"
TEXARKANA,TEXARKANA,AR,"AR,TEXARKANA","AR,TEXARKANA"
WEST MEMPHIS,WEST MEMPHIS,AR,"AR,WEST MEMPHIS","AR,WEST MEMPHIS"
ALHAMBRA,ALHAMBRA,CA,"CA,ALHAMBRA","CA,ALHAMBRA"
ANAHEIM,ANAHEIM,CA,"CA,ANAHEIM","CA,ANAHEIM"
BAKERSFIELD,BAKERSFIELD,CA,"CA,BAKERSFIELD","CA,BAKERSFIELD"
BERKELEY,BERKELEY,CA,"CA,BERKELEY","CA,BERKELEY"
EUREKA,EUREKA,CA,"CA,EUREKA","CA,EUREKA"
FRESNO,FRESNO,CA,"CA,FRESNO","CA,FRESNO"
INGLEWOOD,INGLEWOOD,CA,"CA,INGLEWOOD","CA,INGLEWOOD"
LONG BEACH,LONG BEACH,CA,"CA,LONG BEACH","CA,LONG BEACH"
LOS ANGELES,LOS ANGELES,CA,"CA,LOS ANGELES","CA,LOS ANGELES"
MARYSVILLE,MARYSVILLE,CA,"CA,MARYSVILLE","CA,MARYSVILLE"
MODESTO,MODESTO,CA,"CA,MODESTO","CA,MODESTO"
MOJAVE,MOJAVE,CA,"CA,MOJAVE","CA,MOJAVE"
OAKLAND,OAKLAND,CA,"CA,OAKLAND","CA,OAKLAND"
OXNARD,OXNARD,CA,"CA,OXNARD","CA,OXNARD"
PALM SPRINGS,PALM SPRINGS,CA,"CA,PALM SPRINGS","CA,PALM SPRINGS"
PALO ALTO,PALO ALTO,CA,"CA,PALO ALTO","CA,PALO ALTO"
PASADENA,PASADENA,CA,"CA,PASADENA","CA,PASADENA"
REDDING,REDDING,CA,"CA,REDDING","CA,REDDING"
RICHMOND,RICHMOND,CA,"CA,RICHMOND","CA,RICHMOND"
RIVERSIDE,RIVERSIDE,CA,"CA,RIVERSIDE","CA,RIVERSIDE"
SACRAMENTO,SACRAMENTO,CA,"CA,SACRAMENTO","CA,SACRAMENTO"
SALINAS,SALINAS,CA,"CA,SALINAS","CA,SALINAS"
SAN BERNARDINO,SAN BERNARDINO,CA,"CA,SAN BERNARDINO","CA,SAN BERNARDINO"
SAN DIEGO,SAN DIEGO,CA,"CA,SAN DIEGO","CA,SAN DIEGO"
SAN FRANCISCO,SAN FRANCISCO,CA,"CA,SAN FRANCISCO","CA,SAN FRANCISCO"
SAN JOSE,SAN JOSE,CA,"CA,SAN JOSE","CA,SAN JOSE"
SAN LUIS OBISPO,SAN LUIS OBISPO,CA,"CA,SAN LUIS OBISPO","CA,SAN LUIS OBISPO"
SAN MATEO,SAN MATEO,CA,"CA,SAN MATEO","CA,SAN MATEO"
SAN RAFAEL,SAN RAFAEL,CA,"CA,SAN RAFAEL","CA,SAN RAFAEL"
SANTA ANA,SANTA ANA,CA,"CA,SANTA ANA","CA,SANTA ANA"
SANTA BARBARA,SANTA BARBARA,CA,"CA,SANTA BARBARA","CA,SANTA BARBARA"
SANTA CRUZ,SANTA CRUZ,CA,"CA,SANTA CRUZ","CA,SANTA CRUZ"
SANTA ROSA,SANTA ROSA,CA,"CA,SANTA ROSA","CA,SANTA ROSA"
STOCKTON,STOCKTON,CA,"CA,STOCKTON","CA,STOCKTON"
SUSANVILLE,SUSANVILLE,CA,"CA,SUSANVILLE","CA,SUSANVILLE"
VALLEJO,VALLEJO,CA,"CA,VALLEJO","CA,VALLEJO"
VAN NUYS,VAN NUYS,CA,"CA,VAN NUYS","CA,VAN NUYS"
ALAMOSA,ALAMOSA,CO,"CO,ALAMOSA","CO,ALAMOSA"
BOULDER,BOULDER,CO,"CO,BOULDER","CO,BOULDER"
COLORADO SPRINGS,COLORADO SPRINGS,CO,"CO,COLORADO SPRINGS","CO,COLORADO SPRINGS"
DENVER,DENVER,CO,"CO,DENVER","CO,DENVER"
DURANGO,DURANGO,CO,"CO,DURANGO","CO,DURANGO"
FORT COLLINS,FORT COLLINS,CO,"CO,FORT COLLINS","CO,FORT COLLINS"
FORT MORGAN,FORT MORGAN,CO,"CO,FORT MORGAN","CO,FORT MORGAN"
GLENWOOD SPRINGS,GLENWOOD SPRINGS,CO,"CO,GLENWOOD SPRINGS","CO,GLENWOOD SPRINGS"
GOLDEN,GOLDEN,CO,"CO,GOLDEN","CO,GOLDEN"
GRAND JUNCTION,GRAND JUNCTION,CO,"CO,GRAND JUNCTION","CO,GRAND JUNCTION"
GREELEY,GREELEY,CO,"CO,GREELEY","CO,GREELEY"
MONTROSE,MONTROSE,CO,"CO,MONTROSE","CO,MONTROSE"
PUEBLO,PUEBLO,CO,"CO,PUEBLO","CO,PUEBLO"
SALIDA,SALIDA,CO,"CO,SALIDA","CO,SALIDA"
BRIDGEPORT,BRIDGEPORT,CT,"CT,BRIDGEPORT","CT,BRIDGEPORT"
HARTFORD,HARTFORD,CT,"CT,HARTFORD","CT,HARTFORD"
MERIDEN,MERIDEN,CT,"CT,MERIDEN","CT,MERIDEN"
NEW BRITAIN,NEW BRITAIN,CT,"CT,NEW BRITAIN","CT,NEW BRITAIN"
NEW HAVEN,NEW HAVEN,CT,"CT,NEW HAVEN","CT,NEW HAVEN"
NEW LONDON,NEW LONDON,CT,"CT,NEW LONDON","CT,NEW LONDON"
NORWALK,NORWALK,CT,"CT,NORWALK","CT,NORWALK"
STAMFORD,STAMFORD,CT,"CT,STAMFORD","CT,STAMFORD"
WATERBURY,WATERBURY,CT,"CT,WATERBURY","CT,WATERBURY"
WILLIMANTIC,WILLIMANTIC,CT,"CT,WILLIMANTIC","CT,WILLIMANTIC"
WASHINGTON,WASHINGTON,DC,"DC,WASHINGTON","DC,WASHINGTON"
DOVER,DOVER,DE,"DE,DOVER","DE,DOVER"
NEWARK,NEWARK,DE,"DE,NEWARK","DE,NEWARK"
WILMINGTON,WILMINGTON,DE,"DE,WILMINGTON","DE,WILMINGTON"
DAYTONA BEACH,DAYTONA BEACH,FL,"FL,DAYTONA BEACH","FL,DAYTONA BEACH"
FORT LAUDERDALE,FORT LAUDERDALE,FL,"FL,FORT LAUDERDALE","FL,FORT LAUDERDALE"
